ObjectID,GlobalID,Surface temperature,Surface type,Shade,Tree density,CreationDate,x,y
145,88e43639-9552-462b-b635-420743866ef6,44.6,Impervious (light-colored),No shade,0,7/27/2026 15:23,-71.12094012,42.40484547
153,6930498e-4773-4556-bdf1-a323408ce4ce,44.6,Impervious (light-colored),No shade,1,7/27/2026 15:24,-71.12138369,42.40473127
149,8a4cbdf8-187c-4e3b-92cd-b65116ea0943,44.4,Turf grass,No shade,1,7/27/2026 15:23,-71.12140407,42.40472084
129,52610b73-a614-4c23-ac76-112c5143661e,44.2,Impervious (light-colored),Partial shade,2,7/27/2026 15:21,-71.12116884,42.40507989
260,683914e8-5954-46cc-9036-daf8e50d042a,44.2,Impervious (dark-colored),No shade,0,7/27/2026 15:30,-71.11854336,42.40790172
59,1f760c3a-5afd-40af-bd1f-7c43b32e3066,44.1,Impervious (light-colored),No shade,3,7/27/2026 15:15,-71.1196235,42.40654242
79,87e426e9-5286-4eb0-9594-7693f366f8e2,44,Impervious (light-colored),No shade,0,7/27/2026 15:16,-71.11952582,42.40651097
293,8077ba46-df54-4010-9b8d-794d272229a1,43.8,Impervious (light-colored),No shade,1,7/27/2026 15:33,-71.11959061,42.40656597
136,f58a1292-4ec5-485e-a23b-1e4183ad37de,43.7,Impervious (light-colored),No shade,0,7/27/2026 15:22,-71.12135132,42.40487656
182,54a6bcde-1904-4a28-8424-d84a5ad42da5,43.6,Impervious (dark-colored),No shade,1,7/27/2026 15:25,-71.11928516,42.40786747
211,cdde5f65-38fb-4120-9ad0-92ce3066d3fe,43.6,Impervious (light-colored),No shade,3,7/27/2026 15:27,-71.1216418,42.40442509
275,f191db32-ba10-4303-856d-84bb9a26b153,43.6,Impervious (dark-colored),No shade,0,7/27/2026 15:32,-71.1184996,42.40769563
221,ceab1fe2-1b73-4db1-b1af-e2b3aeb106e0,43.5,Bare earth,No shade,0,7/27/2026 15:27,-71.1201053,42.40646924
310,4d241433-cb66-4848-b68c-a0bca0a1167a,43.5,Bare earth,No shade,0,7/27/2026 15:34,-71.11847517,42.40780294
32,ff4b4edb-1476-4378-8ace-0d912ab8cb42,43.2,Impervious (light-colored),No shade,0,7/27/2026 15:11,-71.12026549,42.4060217
91,106ebfad-054f-4c59-92ca-f9b14c77631c,43,Impervious (light-colored),No shade,0,7/27/2026 15:18,-71.11941255,42.40668121
157,0e91b0d3-e76f-47af-a8ab-d8133fd9947a,43,Turf grass,No shade,0,7/27/2026 15:24,-71.1195892,42.40782186
93,8118dc90-293a-44fc-a56a-8e54aa3bf235,42.9,Turf grass,Partial shade,4,7/27/2026 15:18,-71.12085343,42.40573244
38,45038c11-a045-4495-a133-e6c7fb426cd3,42.8,Impervious (light-colored),No shade,2,7/27/2026 15:13,-71.11980344,42.40642581
47,38d45923-19fb-4b3b-b0e7-0002e36e73b1,42.7,Impervious (light-colored),No shade,1,7/27/2026 15:14,-71.11897292,42.40690232
237,721051fc-0a7f-4181-9971-a1f10268c705,42.2,Impervious (dark-colored),No shade,0,7/27/2026 15:28,-71.1188954,42.40857374
81,b906539f-671f-470d-b44f-3091cb44ebd4,42.1,Impervious (light-colored),No shade,0,7/27/2026 15:17,-71.11948177,42.40646953
292,f990ad4b-10f0-4b15-a8dd-1550bc75e331,42.1,Impervious (light-colored),No shade,0,7/27/2026 15:33,-71.1197879,42.40635881
253,d0ace7d4-72da-48de-912d-dc1cdc83bdf8,41.9,Impervious (light-colored),No shade,0,7/27/2026 15:30,-71.1194588,42.40656553
106,4c31d90f-e4cf-4208-8e1a-4ebc7fbef7ce,41.8,Impervious (light-colored),No shade,0,7/27/2026 15:19,-71.12053109,42.4056605
209,cfe2123b-a104-44ee-a114-ac620e6af187,41.3,Impervious (light-colored),No shade,0,7/27/2026 15:27,-71.11910945,42.40839407
72,55678643-caad-4096-8edb-f9b979985367,41.2,Impervious (light-colored),No shade,0,7/27/2026 15:16,-71.1206105,42.40581861
43,438adece-3695-4364-a569-312a5516aa9d,41.1,Impervious (light-colored),No shade,0,7/27/2026 15:14,-71.12041983,42.40611651
150,e8507211-e8c7-4d3f-bdca-7182130082ec,41.1,Bare earth,No shade,1,7/27/2026 15:23,-71.11961939,42.40785635
84,8676ff06-1739-4a93-ba4f-989aa2a4ad10,40.7,Impervious (light-colored),No shade,1,7/27/2026 15:17,-71.12074132,42.40569366
254,cd876bd3-55d8-4912-8aba-ffa1821e8993,40.7,Impervious (light-colored),No shade,2,7/27/2026 15:30,-71.1193692,42.40669931
75,1bc220ca-d356-4172-9a7a-963d546723ff,40.5,Impervious (light-colored),No shade,0,7/27/2026 15:16,-71.120925,42.405433
176,d9d35682-a75d-4863-ae5f-509ee7477962,40.2,Bare earth,Partial shade,1,7/27/2026 15:25,-71.12006022,42.40682408
45,03a68b35-4cd5-4a3c-8e7e-4addf76e4a11,40.1,Turf grass,No shade,0,7/27/2026 15:14,-71.12056303,42.40631063
233,1316467d-879c-4920-8610-03affa6a7bd4,39.9,Impervious (light-colored),No shade,0,7/27/2026 15:28,-71.11839268,42.40816721
326,c0a206c2-2592-4f9d-a599-9e7101dac835,39.9,Impervious (light-colored),No shade,0,7/27/2026 15:40,-71.12053872,42.40567718
235,1ce3d7f3-2b8a-4619-a3d3-d9cbcda354c8,39.7,Impervious (dark-colored),Partial shade,1,7/27/2026 15:28,-71.11928524,42.40840565
96,77ba48d0-e352-40ca-92a4-40bc32c01eaf,39.5,Impervious (light-colored),No shade,0,7/27/2026 15:18,-71.1208221,42.40552461
162,223e6925-8d2c-47d6-a001-96fb52908e54,39.2,Impervious (light-colored),No shade,0,7/27/2026 15:24,-71.12110248,42.40469974
259,1b54753c-ca44-49ce-a9da-2624a82ceda5,39.2,Impervious (dark-colored),No shade,1,7/27/2026 15:30,-71.11877422,42.40756788
197,d2256ed0-92c1-4a87-9cc0-f0ed1e2cb874,38.9,Impervious (light-colored),No shade,0,7/27/2026 15:26,-71.11918071,42.40830205
323,dbdad54a-6f82-4a72-b3fe-84ea13493349,38.7,Impervious (light-colored),No shade,1,7/27/2026 15:40,-71.12029282,42.40605518
98,285d6fbd-c173-4fc6-9db2-a2cbb9f64a20,38.6,Turf grass,No shade,1,7/27/2026 15:19,-71.12001706,42.40708756
82,5725750f-cb79-4c73-b4cb-5490eff1e729,38.1,Turf grass,No shade,1,7/27/2026 15:17,-71.12035241,42.4068749
166,b9d90230-3a88-4440-9a3b-550499a61be2,38,Turf grass,No shade,2,7/27/2026 15:24,-71.11967931,42.40795605
140,587ad3dc-6dcf-44d8-98cf-22943372bb0a,37.7,Impervious (light-colored),Partial shade,1,7/27/2026 15:23,-71.121185,42.404826
331,a4ca410a-e2f7-434a-8181-c32c421ed32f,37.7,Impervious (dark-colored),Partial shade,0,7/27/2026 15:40,-71.12106935,42.40492178
222,eda8d888-2fff-406c-ae16-56ff0fef795f,37.5,Bare earth,No shade,0,7/27/2026 15:27,-71.12004852,42.40664004
245,b930aace-d85a-4e37-aa3c-cd608f932318,37.5,Turf grass,Complete shade,0,7/27/2026 15:29,-71.121758,42.403672
305,16bb0ebe-6219-4b7b-8942-83e0559f951a,37.5,Impervious (light-colored),Partial shade,0,7/27/2026 15:34,-71.11924763,42.40673435
41,b5cbf436-ac97-4f56-88b8-fba934c03080,37.4,Turf grass,No shade,0,7/27/2026 15:13,-71.1199375,42.40606782
83,efec03e0-0436-4e95-a741-daf35b143523,37.4,Impervious (light-colored),No shade,2,7/27/2026 15:17,-71.11952577,42.40675265
236,a190385a-5f7e-466a-8459-463b065fd750,37.4,Turf grass,No shade,0,7/27/2026 15:28,-71.12156168,42.40430958
173,e14d917f-5a7b-43e1-8081-756392a87363,37.3,Turf grass,No shade,3,7/27/2026 15:25,-71.12029447,42.40620931
318,f5ce0124-4b37-4f0b-9a4d-3882a4d2647b,37,Turf grass,No shade,1,7/27/2026 15:39,-71.11910036,42.40701137
333,4ac3182f-8a22-4750-8caa-d03baa4b6501,37,Impervious (dark-colored),No shade,0,7/27/2026 15:40,-71.12135625,42.4046485
154,8c562db2-1f29-4771-9f9a-fe8be0f03a87,36.9,Impervious (light-colored),No shade,0,7/27/2026 15:24,-71.12109065,42.40496373
174,f332b25b-5d97-404f-922f-962d5a3b97ff,36.9,Turf grass,No shade,0,7/27/2026 15:25,-71.1202185,42.40638253
267,eabfa8eb-727e-43ce-a92c-890e30ebbe2c,36.9,Turf grass,No shade,4,7/27/2026 15:32,-71.11982406,42.40646992
220,025525ca-da96-4b6b-92a8-0f77a5664833,36.6,Bare earth,Partial shade,1,7/27/2026 15:27,-71.12018307,42.40634008
231,97b736e5-ea64-4b9d-8578-671d7d42eb70,36.6,Bare earth,No shade,0,7/27/2026 15:28,-71.11899497,42.40800532
290,76ce0c4a-3881-4551-b4c0-f61f798514e2,36.6,Turf grass,No shade,0,7/27/2026 15:33,-71.11997873,42.40608076
279,55d023c6-9ede-4909-9af2-0b50cc9495cd,36.5,Turf grass,No shade,1,7/27/2026 15:32,-71.12028763,42.40654246
130,723e2b0e-976c-47b4-91b3-80ac7bcc8c08,36.2,Impervious (dark-colored),No shade,0,7/27/2026 15:21,-71.1191073,42.40713967
58,0c479f3c-201c-43f3-ba91-330864e48cdb,36.1,Impervious (light-colored),No shade,2,7/27/2026 15:15,-71.12057769,42.40597748
60,1c1fc216-9f2f-497d-bed3-47d24061b87c,36,Turf grass,Partial shade,3,7/27/2026 15:15,-71.1205866,42.4059596
219,bbefcf5d-0289-4663-bfc0-7447d8c7d5dc,35.9,Bare earth,No shade,0,7/27/2026 15:27,-71.11998662,42.40631161
65,7ac94961-fec2-4ab4-ad06-6fe7c993e6c3,35.7,Turf grass,No shade,6,7/27/2026 15:15,-71.12071776,42.40585393
261,0ed22648-a463-4255-8a32-fa9be5575ebe,35.6,Impervious (dark-colored),Partial shade,1,7/27/2026 15:30,-71.12202241,42.40393949
302,70152bc2-6474-4a5f-aafe-a2a3d3fb16e4,35.5,Turf grass,No shade,1,7/27/2026 15:34,-71.11978663,42.40600829
165,a4b852c7-a402-4a5e-8b91-0249335bff9a,35.3,Turf grass,No shade,0,7/27/2026 15:24,-71.11886542,42.40737481
325,95215660-5612-4029-99c5-4f21024c28bb,35.3,Impervious (light-colored),No shade,0,7/27/2026 15:40,-71.1204392,42.405787
37,3c8d9eb9-70d7-418d-8ba1-3071cb0e3c14,35.1,Turf grass,Partial shade,1,7/27/2026 15:13,-71.12024379,42.40599726
183,290791df-9444-4250-b76e-e9e22797beb0,35.1,Impervious (light-colored),No shade,1,7/27/2026 15:25,-71.11906705,42.40800804
199,80d2a816-6060-4043-8c6a-32ba2e433fac,35.1,Impervious (light-colored),No shade,1,7/27/2026 15:26,-71.12159007,42.40448871
108,d1532eff-7d14-451d-885e-fb0b87bdb770,35,Turf grass,Partial shade,2,7/27/2026 15:19,-71.12087449,42.40513606
131,3487c543-dbd6-4884-b4a9-127781a943d2,35,Impervious (light-colored),Partial shade,1,7/27/2026 15:22,-71.12117439,42.40505076
172,dbc00408-6e5a-4287-b115-1b70dc5edc90,35,Turf grass,Partial shade,1,7/27/2026 15:25,-71.12030484,42.40621178
76,4341276e-505b-4f86-ae60-8dd36ebd03a8,34.9,Turf grass,No shade,1,7/27/2026 15:16,-71.12025391,42.40671638
148,3080ca1a-2530-4e2b-94ae-bb09b515c061,34.9,Turf grass,No shade,0,7/27/2026 15:23,-71.11957889,42.4077858
111,831cda5b-1530-44e7-a079-5694c8a39dcf,34.7,Bare earth,Partial shade,1,7/27/2026 15:20,-71.12100138,42.40538606
175,4aa6b9fb-7eaf-49e7-a088-d41aba443c6a,34.5,Turf grass,No shade,1,7/27/2026 15:25,-71.12012454,42.40666882
