card,m,y,catchname,catch,locality,time,org,map,east,north,altitude,penet,fishmeth,effort,pass,spcode,abund,number,minl,maxl,nzreach
105750,7,2004,Waikato River,434,Waikato River,1413,uow,S12,2693221,6430246,16,45,efb,2284,,gobcot,,1,,,3007368
105751,7,2004,Waikato River,434,Waikato River,1455,uow,S12,2693411,6430076,16,45,efb,2496,,gobcot,,2,,,3007368
105775,8,2007,Waikato River,434.13,Whangamarino River,1056,uow,S12,2694815,6431062,15,46,efb,993,,gobcot,,1,,,3007615
105781,8,2007,Waikato River,434.131,Maramarua River,1421,uow,S12,2695511,6432209,16,47,efb,457,,gobcot,,1,,,3007477
105784,8,2007,Waikato River,434.131,Maramarua River,1525,uow,S12,2695745,6433048,16,50,efb,368,,gobcot,,1,,,3007138
105786,8,2007,Waikato River,434.13,Whangamarino River,1058,uow,S13,2697750,6427742,13,52,efb,265,,gobcot,,1,,,3008250
105795,8,2007,Waikato River,434.13,Whangamarino River,1006,uow,S13,2703675,6426167,10,59,efb,698,,gobcot,,3,,,3008630
105797,8,2007,Waikato River,434.13,Whangamarino River,1039,uow,S13,2703321,6426104,10,59,efb,490,,gobcot,,1,,,3008630
105799,8,2007,Waikato River,434.13,Whangamarino River,1118,uow,S13,2703237,6426248,3,58,efb,494,,gobcot,,14,,,3008593
105800,8,2007,Waikato River,434.136,Pungarehu Stream,1241,uow,S13,2703258,6426059,7,59,efb,1220,,gobcot,,1,,,3008641
105803,8,2007,Waikato River,434.136,Pungarehu Stream,1326,uow,S13,2703388,6425810,7,59,efb,1200,,gobcot,,1,,,3008641
105806,3,2008,Waikato River,434.13,Whangamarino River,1135,uow,S12,2694518,6431228,16,46,efb,304,,gobcot,,1,,,3007565
105807,3,2008,Waikato River,434.13,Whangamarino River,1308,uow,S12,2693794,6431734,16,44,efb,164,,gobcot,,1,,,3007396
105809,3,2008,Waikato River,434.13,Whangamarino River,1215,uow,S12,2694009,6431577,16,44,efb,288,,gobcot,,2,,,3007396
105811,3,2008,Waikato River,434.13,Whangamarino River,1617,uow,S13,2703519,6426079,10,59,efb,472,,gobcot,,3,,,3008630
105822,3,2008,Waikato River,434.131,Maramarua River,1205,uow,S12,2695475,6432405,16,47,efb,244,,gobcot,,1,,,3007477
105823,3,2008,Waikato River,434.131,Maramarua River,1105,uow,S12,2695953,6433199,12,50,efb,656,,gobcot,,3,,,3007138
105824,3,2008,Waikato River,434.131,Maramarua River,1125,uow,S12,2695737,6433041,16,50,efb,496,,gobcot,,5,,,3007138
111275,1,2008,Waikato River,434.161,Lake Waikare,day,uow,,2705982,6419389,9,66,efb,4694,6,gobcot,,23,,,3010099
111277,3,2008,Waikato River,434.13,Whangamarino River,day,uow,,2694009,6431578,16,44,efb,1456,5,gobcot,,4,,,3007396
111278,3,2008,Waikato River,434.13,Whangamarino River,day,uow,,2703244,6426260,3,58,efb,1864,5,gobcot,,3,,,3008593
111280,3,2008,Waikato River,434.131,Maramarua River,day,uow,,2695738,6433042,16,49,efb,1924,5,gobcot,,9,,,3007196
111288,5,2008,Waikato River,434.001,Waikato River,day,uow,,2711900,6376456,32,118,efb,,1,gobcot,,4,,,3017724
111295,9,2008,Waikato River,434.001,Lake Rotoroa,day,uow,,2710501,6376278,,,efb,2388,3,gobcot,,1,,,
111296,9,2008,Waikato River,434.15,Lake Whangape,day,uow,,2691761,6412801,30,64,efb,3375,3,gobcot,,3,,,3010847
111298,11,2008,Waikato River,434.22,Waipa River,day,uow,,2696817,6383002,21,109,efb,3081,4,gobcot,,5,,,3016675
111305,2,2009,Waikato River,434.221,Lake Ngaroto,day,uow,,2711374,6358924,48,163,efb,9793,1,gobcot,,22,,,3021336
111306,2,2009,Waikato River,434.22,Lake Mangahia,day,uow,,2706228,6366858,37,150,fyn,3673,1,gobcot,,3,,,3019705
111313,5,2009,Waikato River,434,Lake D,day,uow,,2708283,6388946,,,efb,4070,1,gobcot,,290,,,
111314,5,2009,Waikato River,434.12,Mangatawhiri River,day,uow,,2690088,6434810,15,40,efb,2408,1,gobcot,,5,,,3006699
111315,5,2009,Waikato River,434,Waikato River,day,uow,,2689810,6434540,14,40,efb,548,1,gobcot,,2,,,3006805
111316,5,2009,Waikato River,434,Waikato River,day,uow,,2690332,6434744,11,40,efb,648,1,gobcot,c,,,,3006805
111317,5,2009,Waikato River,434.18,Lake Kimihia,day,uow,,2703549,6406427,19,78,efb,8863,1,gobcot,,3,,,3012506
111318,5,2009,Waikato River,434,Lake Ohinewai,day,uow,,2702153,6409545,9,77,efb,4254,1,gobcot,,9,,,3011646
111321,9,2009,Waikato River,434.001,Lake D,day,uow,,2707106,6388884,,,efb,4800,1,gobcot,,54,,,
111322,9,2009,Waikato River,434.22,Lake Rotokauri,day,uow,,2703803,6380302,29,129,efb,7336,1,gobcot,,106,,,3017089
111323,10,2009,Waikato River,434.18,Lake Hakanoa,day,uow,,2701832,6403540,13,80,efb,1106,1,gobcot,,32,,,3012951
111324,11,2009,Waikato River,434.12,Maungatawhiri Stream,day,uow,,2703206,6438884,21,65,efb,,1,gobcot,,,,,3005763
111327,11,2009,Waikato River,434.22,Waipa River,day,uow,,2701783,6356453,21,158,efb,,1,gobcot,,,,,3021881
111328,11,2009,Waikato River,434.001,Waikato River,day,uow,,2711757,6375732,32,118,efb,632,3,gobcot,p,,,,3017724
111336,2,2010,Waikato River,434.001,Waikato River,day,uow,,2709541,6379875,20,113,efb,1648,8,gobcot,,44,,,3017193
111337,2,2010,Waikato River,434.001,Waikato River,day,uow,,2709834,6380775,20,111,efb,840,4,gobcot,,3,,,3017057
111359,11,2010,Waikato River,434,Waikato River,day,uow,,2700789,6403622,11,78,efb,,1,gobcot,,4,,,3012541
